2024-12-09 13:32:51,937 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:32:53,364 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:33:07,975 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:33:09,479 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:33:25,404 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:33:26,440 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:33:28,430 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:33:29,946 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:33:48,853 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:33:50,622 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:41:00,804 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:41:01,960 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:41:08,304 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:41:09,489 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:41:21,335 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:41:22,879 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 14:00:04,997 | WARNING | django.request | Unauthorized: /api/get-schedule/2/draft/
2024-12-09 14:00:04,999 | WARNING | django.server | "GET /api/get-schedule/2/draft/ HTTP/1.1" 401 183
2024-12-09 14:00:05,005 | WARNING | django.request | Unauthorized: /api/get-schedule/2/draft/
2024-12-09 14:00:05,006 | WARNING | django.server | "GET /api/get-schedule/2/draft/ HTTP/1.1" 401 183
2024-12-09 14:00:05,055 | INFO | django.server | "POST /api/token/refresh/ HTTP/1.1" 200 483
2024-12-09 14:00:05,070 | WARNING | django.request | Unauthorized: /api/token/refresh/
2024-12-09 14:00:05,076 | WARNING | django.server | "POST /api/token/refresh/ HTTP/1.1" 401 58
2024-12-09 14:00:05,175 | INFO | django.server | "GET /api/get-schedule/2/draft/ HTTP/1.1" 200 1873
2024-12-09 14:00:21,665 | INFO | django.server | "POST /api/token/ HTTP/1.1" 200 483
2024-12-09 14:00:21,681 | INFO | django.server | "GET /api/user-info/ HTTP/1.1" 200 149
2024-12-09 14:00:21,737 | INFO | django.server | "GET /api/user-info/ HTTP/1.1" 200 149
2024-12-09 14:00:21,751 | INFO | django.server | "GET /api/user-info/ HTTP/1.1" 200 149
2024-12-09 14:00:21,772 | INFO | django.server | "GET /api/employees/?branch=2 HTTP/1.1" 200 578
2024-12-09 14:00:21,787 | INFO | django.server | "GET /api/employees/?branch=2 HTTP/1.1" 200 578
2024-12-09 14:00:25,616 | INFO | django.server | "OPTIONS /api/schedules/?week=current HTTP/1.1" 200 0
2024-12-09 14:00:25,617 | INFO | django.server | "OPTIONS /api/schedules/?week=current HTTP/1.1" 200 0
2024-12-09 14:00:25,674 | INFO | django.server | "GET /api/schedules/?week=current HTTP/1.1" 200 2375
2024-12-09 14:00:25,760 | INFO | django.server | "GET /api/schedules/?week=current HTTP/1.1" 200 2375
2024-12-09 14:00:27,326 | INFO | django.server | "GET /api/get-schedule/2/draft/ HTTP/1.1" 200 1873
2024-12-09 14:00:27,367 | INFO | django.server | "GET /api/get-schedule/2/draft/ HTTP/1.1" 200 1873
2024-12-09 14:00:33,849 | INFO | django.server | "GET /api/user-info/ HTTP/1.1" 200 149
2024-12-09 14:00:33,890 | INFO | django.server | "GET /api/user-info/ HTTP/1.1" 200 149
2024-12-09 14:00:33,938 | INFO | django.server | "GET /api/employees/?branch=2 HTTP/1.1" 200 578
2024-12-09 14:00:34,012 | INFO | django.server | "GET /api/employees/?branch=2 HTTP/1.1" 200 578
2024-12-09 14:00:35,851 | INFO | django.server | "GET /api/get-schedule/2/draft/ HTTP/1.1" 200 1873
2024-12-09 14:00:35,876 | INFO | django.server | "GET /api/get-schedule/2/draft/ HTTP/1.1" 200 1873
2024-12-09 14:08:05,791 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 14:08:07,517 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 14:10:28,448 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 14:10:30,330 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 14:11:06,779 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 14:11:08,124 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 14:12:01,584 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 14:12:02,739 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 14:12:24,327 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 14:12:25,955 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 14:13:04,543 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 14:13:06,152 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 14:15:37,812 | INFO | django.server | "GET /api/user-info/ HTTP/1.1" 200 149
2024-12-09 14:15:37,834 | INFO | django.server | "GET /api/user-info/ HTTP/1.1" 200 149
2024-12-09 14:15:37,857 | INFO | django.server | "GET /api/employees/?branch=2 HTTP/1.1" 200 578
2024-12-09 14:15:37,878 | INFO | django.server | "GET /api/employees/?branch=2 HTTP/1.1" 200 578
2024-12-09 14:15:56,058 | INFO | django.server | "GET /api/get-schedule/2/draft/ HTTP/1.1" 200 1873
2024-12-09 14:15:56,096 | INFO | django.server | "GET /api/get-schedule/2/draft/ HTTP/1.1" 200 1873
2024-12-09 14:16:03,609 | INFO | django.server | "GET /api/rooms/ HTTP/1.1" 200 160
2024-12-09 14:16:03,628 | INFO | django.server | "GET /api/rooms/ HTTP/1.1" 200 160
2024-12-09 14:16:26,562 | INFO | django.server | "OPTIONS /api/create-schedule/ HTTP/1.1" 200 0
